year,douala_avg_temp,global_temp
1856,24.98,8.00
1857,23.16,7.76
1858,24.03,8.10
1859,23.95,8.25
1860,24.20,7.96
1861,23.98,7.85
1862,25.16,7.56
1863,,8.11
1864,,7.98
1865,,8.18
1866,,8.29
1867,,8.44
1868,,8.25
1869,,8.43
1870,,8.20
1871,,8.12
1872,,8.19
1873,24.23,8.35
1874,24.29,8.43
1875,23.98,7.86
1876,24.20,8.08
1877,24.47,8.54
1878,24.36,8.83
1879,23.66,8.17
1880,23.86,8.12
1881,24.22,8.27
1882,24.00,8.13
1883,24.28,7.98
1884,23.96,7.77
1885,24.11,7.92
1886,23.98,7.95
1887,23.35,7.91
1888,23.74,8.09
1889,24.09,8.32
1890,23.00,7.97
1891,23.63,8.02
1892,23.76,8.07
1893,23.76,8.06
1894,23.90,8.16
1895,23.98,8.15
1896,23.96,8.21
1897,24.40,8.29
1898,23.86,8.18
1899,24.45,8.40
1900,24.38,8.50
1901,24.61,8.54
1902,24.10,8.30
1903,23.96,8.22
1904,23.36,8.09
1905,24.33,8.23
1906,24.12,8.38
1907,24.10,7.95
1908,24.09,8.19
1909,23.99,8.18
1910,24.09,8.22
1911,23.90,8.18
1912,24.62,8.17
1913,24.91,8.30
1914,24.91,8.59
1915,24.75,8.59
1916,24.52,8.23
1917,24.78,8.02
1918,24.28,8.13
1919,24.91,8.38
1920,24.38,8.36
1921,24.69,8.57
1922,24.53,8.41
1923,24.45,8.42
1924,24.97,8.51
1925,24.26,8.53
1926,24.80,8.73
1927,24.96,8.52
1928,24.48,8.63
1929,24.54,8.24
1930,24.75,8.63
1931,24.98,8.72
1932,24.69,8.71
1933,24.99,8.34
1934,24.79,8.63
1935,24.93,8.52
1936,24.98,8.55
1937,25.13,8.70
1938,25.18,8.86
1939,24.59,8.76
1940,24.73,8.76
1941,25.34,8.77
1942,25.10,8.73
1943,24.66,8.76
1944,25.04,8.85
1945,25.12,8.58
1946,24.82,8.68
1947,25.04,8.80
1948,24.77,8.75
1949,25.08,8.59
1950,24.76,8.37
1951,24.74,8.63
1952,24.72,8.64
1953,24.76,8.87
1954,24.42,8.56
1955,24.48,8.63
1956,24.24,8.28
1957,24.79,8.73
1958,24.71,8.77
1959,24.79,8.73
1960,24.81,8.58
1961,24.62,8.80
1962,24.65,8.75
1963,24.89,8.86
1964,24.62,8.41
1965,24.63,8.53
1966,24.86,8.60
1967,24.73,8.70
1968,24.69,8.52
1969,24.89,8.60
1970,24.88,8.70
1971,24.55,8.60
1972,24.84,8.50
1973,25.08,8.95
1974,24.52,8.47
1975,24.48,8.74
1976,24.48,8.35
1977,25.02,8.85
1978,24.87,8.69
1979,25.05,8.73
1980,25.02,8.98
1981,24.55,9.17
1982,24.53,8.64
1983,24.91,9.03
1984,24.77,8.69
1985,24.64,8.66
1986,24.60,8.83
1987,25.22,8.99
1988,24.99,9.20
1989,24.65,8.92
1990,25.08,9.23
1991,24.99,9.18
1992,24.60,8.84
1993,24.90,8.87
1994,24.93,9.04
1995,25.21,9.35
1996,25.00,9.04
1997,24.98,9.20
1998,25.66,9.52
1999,24.97,9.29
2000,24.88,9.20
2001,25.01,9.41
2002,25.26,9.57
2003,25.30,9.53
2004,25.42,9.32
2005,25.36,9.70
2006,25.39,9.53
2007,25.49,9.73
2008,25.42,9.43
2009,25.54,9.51
2010,25.70,9.70
2011,25.25,9.52
2012,25.18,9.51
2013,25.45,9.61
